cue_en,target_en,condition,cue_zh,target_zh,cue_len,target_len,rw_en,"rw_zh, alignment weighted",str_en,"str_zh, alignment weighted",cnt_en,"cnt_zh, alignment weighted",route_cue_zh,route_target_zh,route_cue_rcs,route_target_rcs,route_cue_w,route_target_w,route_s_zh,route_cue_other_translations,route_target_other_translations,cue_sim_cos_rw,target_sim_cos_rw,pair_sim_cos_rw,cue_sim_cos_str,target_sim_cos_str,pair_sim_cos_str
abacus,math,M+E+,算盘,运算,6,4,0.43362587690353394,0.29892587661743164,0.16571427881717682,0.014568339101970196,29.0,1.209172248840332,算盘,数学,0.3528938591480255,0.5083200335502625,1.0,0.20152869820594788,0.07228915393352509,[],"[{'zh': '运算', 'rcs': 0.2369865328073501, 'w': 0.6578474482793525}, {'zh': '计算', 'rcs': 0.2030292749404907, 'w': 0.14062385645110845}]",0.7410531,0.78625643,0.76365477,0.3756541,0.15285441,0.26425427
abacus,calculator,M+E+,算盘,计算器,6,10,0.4911856949329376,0.4578999876976013,0.07999999821186066,0.03614457696676254,14.0,3.0,算盘,计算器,0.3528938591480255,0.5037443041801453,1.0,1.0,0.03614457696676254,[],[],0.7410531,0.7929667,0.7670099,0.3756541,0.36780208,0.3717281
abacus,maths,M+E+,算盘,数学,6,5,0.4694247841835022,0.24469999969005585,0.05714285746216774,0.07228915393352509,10.0,6.0,算盘,数学,0.3528938591480255,0.4652287662029266,1.0,1.0,0.07228915393352509,[],[],0.7410531,0.75558543,0.74831927,0.3756541,0.15189764,0.2637759
abacus,ancient,M+E+,算盘,古代,6,7,0.10806320607662201,0.06283869594335556,0.02857142873108387,0.013900110498070717,5.0,1.1537091732025146,算盘,古代,0.3528938591480255,0.4154490530490875,1.0,0.3845697343349457,0.03614457696676254,[],"[{'zh': '古老', 'rcs': 0.3368918299674988, 'w': 0.38456972611231516}, {'zh': '古老的', 'rcs': 0.337956815958023, 'w': 0.23086054777536968}]",0.7410531,0.7394959,0.7402745,0.3756541,0.39926347,0.3874588
abacus,bead,M+E+,算盘,珠子,6,4,0.21358968317508698,0.31119999289512634,0.022857142612338066,0.07228915393352509,4.0,6.0,算盘,珠子,0.3528938591480255,0.5271474123001099,1.0,1.0,0.07228915393352509,[],[],0.7410531,0.7568283,0.7489407,0.3756541,0.4170655,0.3963598
abacus,calculation,M+E+,算盘,估计,6,11,0.440645307302475,0.10928141325712204,0.022857142612338066,0.015133832581341267,4.0,1.2561081647872925,算盘,计算,0.3528938591480255,0.4773848950862884,1.0,0.20935136079788208,0.07228915393352509,[],"[{'zh': '估计', 'rcs': 0.3036848604679107, 'w': 0.49956171663079846}, {'zh': '推测', 'rcs': 0.205490231513977, 'w': 0.2104721304509095}, {'zh': '预测', 'rcs': 0.3776351511478424, 'w': 0.08061478549410271}]",0.7410531,0.6681305,0.7045918,0.3756541,0.2465702,0.31111217
abacus,mathematics,M+E+,算盘,数学,6,11,0.3984137177467346,0.24469999969005585,0.017142856493592262,0.07228915393352509,3.0,6.0,算盘,数学,0.3528938591480255,0.6402754187583923,1.0,1.0,0.07228915393352509,[],[],0.7410531,0.77295023,0.75700164,0.3756541,0.19349484,0.28457448
abacus,shoot,M+E-,算盘,打,6,5,0.010166540741920471,0.0957999974489212,0.0,0.048192769289016724,0.0,4.0,算盘,打,0.3528938591480255,0.2243861258029937,1.0,1.0,0.048192769289016724,[],[],0.7410531,0.64301664,0.69203484,0.3756541,0.015719948,0.19568703
abacus,slap,M+E-,算盘,拍,6,4,0.010911407880485058,0.035724807530641556,0.0,0.011716553941369057,0.0,0.9724740386009216,算盘,打,0.3528938591480255,0.3616909980773926,1.0,0.2431185096502304,0.048192769289016724,[],"[{'zh': '拍', 'rcs': 0.2586597204208374, 'w': 0.7568814887120378}]",0.7410531,0.5814565,0.66125476,0.3756541,0.016892083,0.19627309
abacus,beat,M+E-,算盘,赢,6,4,0.04527878016233444,0.017406178638339043,0.0,0.008756283670663834,0.0,0.7267715334892273,算盘,打,0.3528938591480255,0.2532602548599243,1.0,0.18169288337230682,0.048192769289016724,[],"[{'zh': '赢', 'rcs': 0.2432011663913726, 'w': 0.4166328648462143}, {'zh': '打败', 'rcs': 0.2121729850769043, 'w': 0.40167425325847905}]",0.7410531,0.6047617,0.6729074,0.3756541,0.024253312,0.1999537
